file_name,disease1,disease2,disease6,disease8,disease11,disease13,disease19,disease21
F03_U01_O0590_D2022-07-25_L265_W0229_S2_R02_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O2942_D2022-10-13_L350_W0407_S2_R08_B01_I00000217.JPG,0,1,0,0,0,1,0,0
F03_U01_O1946_D2022-09-07_L310_W0336_S2_R07_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F02_U01_O2103_D2022-09-14_L315_W0293_S2_R04_B02_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O2089_D2022-09-14_L290_W0226_S2_R04_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F04_U01_O0715_D2022-07-28_L325_W0259_S2_R07_B02_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O0319_D2022-07-14_L255_W0159_S1_R06_B02_I00000021.JPG,0,0,0,0,0,0,0,1
F04_U01_O0339_D2022-07-14_L290_W0217_S2_R04_B02_I00020619.JPG,0,1,1,0,0,0,1,0
F03_U01_O0548_D2022-07-22_L255_W0161_S1_R06_B02_I00000008.JPG,0,0,0,1,0,0,0,0
F02_U01_O3020_D2022-10-14_L410_W0643_S3_R08_B02_I00000006.JPG,0,0,1,0,0,0,0,0
F03_U01_O2168_D2022-09-15_L305_W0280_S2_R14_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F04_U01_O0248_D2022-07-07_L140_W0230_S2_R01_B03_I00000021.JPG,0,0,0,0,0,0,0,1
F02_U01_O3327_D2022-10-26_L125_W0014_S1_R03_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O1031_D2022-08-10_L265_W0184_S1_R07_B02_I00000113.JPG,1,0,0,0,0,1,0,0
F03_U01_O3237_D2022-10-24_L340_W0430_S2_R07_B02_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O2598_D2022-09-29_L305_W0286_S2_R07_B02_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O3355_D2022-10-26_L330_W0323_S2_R09_B01_I00000013.JPG,0,0,0,0,0,1,0,0
F02_U01_O3550_D2022-11-02_L145_W0030_S1_R12_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O2289_D2022-09-20_L280_W0189_S1_R05_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O1990_D2022-09-08_L260_W0208_S2_R02_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O2993_D2022-10-14_L300_W0265_S2_R04_B02_I00000021.JPG,0,0,0,0,0,0,0,1
F02_U01_O3064_D2022-10-17_L390_W0611_S3_R02_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O0591_D2022-07-25_L245_W0145_S1_R03_B01_I00000008.JPG,0,0,0,1,0,0,0,0
F02_U01_O3440_D2022-10-28_L147_W0031_S1_R02_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O2461_D2022-09-26_L335_W0373_S2_R05_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F02_U01_O1881_D2022-09-01_L380_W0788_S3_R04_B01_I00000206.JPG,0,1,1,0,0,0,0,0
F03_U01_O3150_D2022-10-19_L320_W0346_S2_R01_B02_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O0957_D2022-08-09_L255_W0175_S1_R07_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O3586_D2022-11-02_L340_W0434_S2_R07_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F04_U01_O0274_D2022-07-13_L320_W0304_S2_R01_B01_I00020619.JPG,0,1,1,0,0,0,1,0
F03_U01_O0643_D2022-07-26_L245_W0133_S1_R07_B02_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O0773_D2022-08-02_L270_W0211_S2_R09_B02_I00000708.JPG,0,0,0,1,0,0,0,0
F03_U01_O3036_D2022-10-17_L305_W0286_S2_R04_B01_I00000021.JPG,0,0,0,0,0,0,0,1
F03_U01_O0894_D2022-08-05_L250_W0153_S1_R12_B01_I00000811.JPG,0,0,0,1,1,0,0,0
